id	word	action	setJson	addFormsJson	addMeaningsJson	addQuizSensesJson	reason	evidence	expectedMeaningHash	expectedExampleHash
word_85bd11f23285	stimulate	keep					KEEP_FORM_VARIANT	合法词形命中：stimulate, stimulates	098d4a300330f7ef2a80a835708712c82283305ae4427f576660ffc6cad01b43	2e9d9d8d612335db0de7972ccea9706839eb542528dd2570e78ab21bba15b223
word_cd9ec777142d	merit	keep					KEEP_FORM_VARIANT	合法词形命中：merit, merits	f41d0f7afb55880079e1a4dba400aa6f013402abd438d117183db05013564eb1	d344ca98deecc138ac9adaa5d6c2c8fb9e41bbc2fd2d7fe7e03805185f183c2d
word_298c6770970d	dollar	keep					KEEP_FORM_VARIANT	合法词形命中：dollar, dollars	15008a7049b6713aec640986e612cf34db6eb000b0d3b0c1b6144bca298979c5	4752cc09d09a9d986de96d878e955b750efb89857ec0ebfeab2919a24af505b0
word_12c8c68fb6ae	politician	keep					KEEP_FORM_VARIANT	合法词形命中：politician, politicians	d03465324574f487305e6b2cd543a349bb0cca518d0b94f9d99e7678e69e8027	3ac235b0677da94abbd5d2df98fa5e62ff88d1e2023b76424a8028f7c5fa2d29
word_0e4ab91df359	meet	keep					KEEP_FORM_VARIANT	合法词形命中：met	6765624f0ac001502963abb2df472aee633bff7148264ba87230ce8d3eade290	1a04712d190c2fddc803327a5eb3591971f1f17b0b70d45386b7c86c231308c7
word_7b9de79114be	trial	keep					KEEP_FORM_VARIANT	合法词形命中：trial, trials	100f9d34f6ba11bd4688b970a3e53ef4b88acb138bf3b0f3335ee7971c0167fa	ed505fa91adc7a4eec5701d889960ed95bd88371f7f2f0b5df315bcaff0528b8
word_50a0087fb8ea	banana	keep					KEEP_FORM_VARIANT	合法词形命中：banana, bananas	215d360dea6ee420c5e880c9b020b9ce023abbd8f1562778134c8a194a950577	4a7c1542405f4da91576b1256731f0c22e5f50b59a7ee252eed2b49ee6033376
word_cec0a059a285	administer	keep					KEEP_FORM_VARIANT	合法词形命中：administer, administers	6fb048778d8ba7efabb63066744eea52805671d189fc5a4be918a1b345b91759	9b0cf432e3961b860a67709cc436c9d8f1f9e624544a4001a17916b018b53946
word_6d9eee12a7f5	assert	keep					KEEP_FORM_VARIANT	合法词形命中：assert, asserted	0b41ff3206ce045a5adf7307ee030c2ca7cf5d3e58543fff04f6daf8965e00d4	54b001037a81a3c576e8cf6b94ea183b43cbab76460e4477708934f0e6843a8b
word_a5c96bc8a871	deskjob	defer					MANUAL_RELATION_REVIEW	词形归一化后仍未命中；本轮不自动重写	8ba79dd1cd7b79ae0c74973f3c3ad343a598fd9ded754c58e3f51807a990c8b6	4249f7f205c52df4471561cdc5c9b7cca86d7c2e4aaad6a6b7021c17e7089a8b
word_96457e110c0a	originate	keep					KEEP_FORM_VARIANT	合法词形命中：originate, originated	df2dbe6184d339fc139846148af5cc50e397d3fe419f56b9576339c828ed432a	a139115667f3ae864304798d51d556a516f40b2b197d2a471f41c604cb2343b5
word_84dadae0d438	specialize	keep					KEEP_FORM_VARIANT	合法词形命中：specialize, specializes	5fc888220ee82dfd26ef90548313f82282907ef5ac06d8b589c3aa906df2bcaa	f6150da8137910f4759b82ebfd2ec95196a0bc9239dd309b325e8243315c5456
word_3183c03eaf52	recognize	keep					KEEP_FORM_VARIANT	合法词形命中：recognize, recognized	dac1698dc5d5778f56fe10a419108721a3a61185446c66ff610e9c23711cdc20	36922dec75ef826ac3e41a04e193146adb2172e19eb1cad3d3b253122226bf3e
word_a91909c31350	correspond	keep					KEEP_FORM_VARIANT	合法词形命中：correspond, corresponding	8fe095751c31baab87ad58b45bb18a85159ff6ae93740baffd5f224832e8fa47	13c8e94c760d3ed3c26ee6f7d5e1be1d41e930bb6e67a1f09f961a7537160c5a
word_8d50f0f35d4b	stranger	keep					KEEP_FORM_VARIANT	合法词形命中：stranger, strangers	3a74dd20f3e9feab38b8ce99014f0e2857aea1fdd1e834edf29f42b4f9c1e356	6aba873fc67b524ebd7b25e8b70cf3ed0c38c04e1b4b941a88a48c7685542d94
