priority	id	word	categories	disposition	evidence
P2	word_7ef52c80d171	vacancy	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	空缺；空位 | meaningDetailedZh为空 | “vacancy”常见含义为：空缺；空位。
P2	word_1348d2116e43	accompany	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	陪伴，伴随
P1	word_0cf5d0bd234c	bamboo	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	竹子 | meaningDetailedZh为空 | “bamboo”常见含义为：竹子。
P2	word_bc2e0c0e32c9	charger	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	充电器 | meaningDetailedZh为空 | “charger”常见含义为：充电器。
P2	word_85bd11f23285	stimulate	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	刺激；激励 | 同骨架出现86次
P2	word_dd5340ecb919	ecology	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	生态学 | 同骨架出现7次
P2	word_27a23622cf94	third	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail	defer	第三的 | meaningDetailedZh为空 | “third”常见含义为：第三的。
P2	word_cd9ec777142d	merit	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	优点；价值 | meaningDetailedZh为空 | “merit”常见含义为：优点；价值。
P2	word_71475e03f71b	venue	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses,duplicate_template_example	defer	场地；举办地点 | meaningDetailedZh为空 | “venue”常见含义为：场地；举办地点。
P2	word_6b9a201fe532	early	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	早的；早
P2	word_fafba1e1b9fd	later	definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,multi_meaning_without_structured_senses,multi_meaning_without_quiz_senses	defer	后来；稍后 | meaningDetailedZh为空 | “later”常见含义为：后来；稍后。
P1	word_bf2edcffbb90	sing	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	唱歌
P1	word_6cf93a45d072	gastric	meaning_too_thin,definition_equals_meaning,definition_chinese_only,missing_meaning_detailed,generic_meaning_detail,duplicate_template_example	defer	胃的 | meaningDetailedZh为空 | “gastric”常见含义为：胃的。
P2	word_dab75d4d36a6	contribute	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	贡献；捐献
P2	word_f55d88e74bdc	contract	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	合同；契约 | 同骨架出现9次
P2	word_3abde6132f9d	useful	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	有用的 | 同骨架出现55次
P2	word_7f4f9889ad7c	somewhat	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	有点；稍微 | 同骨架出现38次
P1	word_be593ec50c40	railway	meaning_too_thin,definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded,duplicate_template_example	defer	铁路 | 同骨架出现4次
P2	word_3af40d0d2975	drop	definition_equals_meaning,definition_chinese_only,meaning_detailed_not_expanded	defer	掉落；滴
