id	word	action	reason	evidence	finalExample	finalExampleCn
word_a3a4c8d5a70c	suitable	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	This job is suitable.	这份工作适合你。
word_ee696da34197	intend	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I intend to apply for the job.	我打算申请这份工作。
word_1eedd7809799	find	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I need to find.	我需要找份工作。
word_70f7f080c3d5	opinion	repair	human-semantic-followup	现有完整中文例句与人工语义复核	In my opinion, education is essential.	在我看来，教育是关键。
word_9b7a699135f1	psychological	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The accident had a psychological impact.	那次事故对他产生了心理影响。
word_0c16baf0eded	japanese	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She is learning Japanese for the job.	她为了工作在学习日语。
word_c9f9e86d9398	recover	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She is recovering from the flu.	她正在从流感中恢复。
word_afa04fa71fc4	parliament	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The parliament passed a new law.	议会通过了一项新法律。
word_2b0eded425ff	lose	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I don't want to lose.	我不想失去工作。
word_248b535efa3e	german	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She is learning German for the job.	她为了工作正在学德语。
word_30dda5937628	maternity	repair	generic_example_cn	现有中文例句、本地词条字段及人工语义复核	Maternity leave policy is explained in the handbook.	员工手册说明了产假政策。
word_77bd22316378	villa	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	They rented a villa by the sea.	他们在海边租了一栋别墅。
word_e7ee86196210	scar	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The accident left a scar on the leg.	事故在他腿上留下了伤疤。
word_aac474b6b560	wound	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He has a deep wound on the leg.	他腿上有一个很深的伤口。
word_63cb1205e171	box	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	He put the gift in a small box.	他把礼物放进一个小盒子里。
word_20c4b2d5df80	occasionally	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I occasionally go to the gym.	我偶尔去健身房。
word_eb799ac33250	enemy	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	They faced many enemies during.	他们在战争中面对许多敌人。
word_9d3f8cd703ce	warmth	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I felt the warmth of the sun.	我感受到了太阳的温暖。
word_bf3d936ea1fe	progression	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Career progression is important.	职业发展对我很重要。
word_ecf2038bd70e	qualify	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	You need to qualify for the job.	你需要有资格做这份工作。
word_7c9d5a8396ff	abscess	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The dentist treated the abscess in the gums.	牙医治疗了牙龈脓肿。
word_66b4e0b0a14c	slip	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Be careful not to slip on the ice.	小心不要在冰上滑倒。
word_a845c009f27f	lot	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I have a lot of work.	我有很多工作要做。
word_b56bb4c6842e	protest	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	They held a protest against the new law.	他们举行抗议反对新法律。
word_296690b206c6	app	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	I downloaded a fitness app.	我下载了一个健身应用。
word_65219f9f6260	historian	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The historian wrote a book about.	历史学家写了一本关于战争的书。
word_43907d268d0f	too	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	This bag is too heavy.	这个包对我来说太重了。
word_b6d6cb8e81bb	fade	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The colors fade in the sun.	颜色在阳光下褪色。
word_e17520117e0f	tough	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	It's a tough job, but someone has to the job.	这是一份艰苦的工作，但总得有人做。
word_aeaeb0ac7854	thirsty	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I am thirsty after.	跑步后我口渴了。
word_34e749e55cc0	bottom	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The key fell to the bottom of the bag.	钥匙掉到了包底。
word_afb557ded940	preference	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I have a preference.	我偏好茶。
word_05b120a1b4dd	diagnosis	repair	human-semantic-followup	现有完整中文例句与人工语义复核	The doctor's diagnosis was flu.	医生诊断为流感。
word_4d62d9b563bf	darkness	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The darkness made it hard.	黑暗使得很难看清。
word_847ab2db6228	equal	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	All people are equal before.	法律面前人人平等。
word_da92431e9c01	ahead	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The deadline is ahead.	截止日期在前方。
word_97334cf02355	rubbish	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Please put the rubbish in the bin.	请把垃圾扔进垃圾桶。
word_117ce5e6e685	era	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	We live in a digital era.	我们生活在数字时代。
word_523a7dc095fc	angel	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She is like an angel.	她对我来说像个天使。
word_f881949ee7c8	federal	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The federal government passed a new law.	联邦政府通过了一项新法律。
word_9d353ebda1d1	offer	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The company offered me.	公司给了我一份工作。
word_b740b7045b53	tangibly	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The benefits are tangibly felt.	所有人都切实感受到了好处。
word_9d30397b2119	bay	repair	unfinished_example,space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The ship anchored in the bay.	船停泊在海湾里。
word_5179937a5934	urge	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I urge you to apply for the job.	我敦促你申请这份工作。
word_0b73ca905a3b	distinct	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	There is a distinct difference between.	两者有明显的区别。
word_7e6607a4aef7	apply	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She will apply for the job.	她将申请这份工作。
word_75b20a77ffe5	by	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	I go to school by bus.	我乘公交车去学校。
word_c7fb01f3d845	ice	repair	unfinished_example,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The roads are covered with ice.	道路被冰覆盖了。
word_9fd134367f8e	answer	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Please answer the phone.	请帮我接电话。
word_e7d1cda631ec	biscuit	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I like to have a biscuit with the tea.	我喜欢喝茶时吃一块饼干。
word_f0d93c8279b2	sick	repair	human-semantic-followup	现有完整中文例句与人工语义复核	I feel sick; I need a day off.	我感觉不舒服，需要请一天假。
word_28a34c937f1e	aug	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The event is on 10 August.	活动在8月10日举行。
word_1e4e14aaeb5c	about	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	Tell me about your application.	告诉我你的工作。
word_44205da7a33f	oak	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The table is made of oak.	这张桌子由橡木制成。
word_1141f211da8d	stuffy	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	This room feels stuffy.	这个房间感觉闷热。
word_33b6e434ca5c	hurry	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I have to hurry to catch.	我得赶紧去赶公交车。
word_f564867d6c13	capsule	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Take one capsule twice.	每日两次，每次一粒胶囊。
word_65fde9224838	york	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I visited York during my trip to the England.	我在英国旅行时参观了约克。
word_1fc6fee2cbd6	whisper	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She whispered something in the her ear.	她在他耳边低语了什么。
word_f8f727a46941	consider	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Please consider my application for the job.	请考虑我的工作申请。
word_145be25d4c0c	entirely	repair	human-semantic-followup	现有完整中文例句与人工语义复核	I entirely agree with you.	我完全同意你。
word_7b26f77e6ef8	washington	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	He works in Washington,.	他在华盛顿特区工作。
word_7057b8f6ef7f	hat	repair	human-semantic-followup	现有完整中文例句与人工语义复核	Wear a hat to protect yourself from the sun.	戴上帽子防晒。
word_5a7853bd5e37	redundant	repair	human-semantic-followup	现有完整中文例句与人工语义复核	He was made redundant from his job.	他被解雇了。
word_ab2102d3bb83	applicant	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	All applicants must submit.	所有申请人都必须提交简历。
word_0963b2bfbf77	sheet	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Please change the sheets on the bed.	请换一下床单。
word_b027b4afe61b	neutral	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Switzerland remained neutral during.	瑞士在战争中保持中立。
word_ba5e5afabc1a	kit	repair	space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	I bought a first-aid kit.	我买了一个急救包。
word_be26f8eaa267	realise	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I didn't realise how late.	我没意识到已经这么晚了。
word_7870e8927a38	after	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	After work, I usually go to the gym.	下班后，我通常去健身房。
word_186e9ff804f0	poolroom	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The community centre has a poolroom with two tables for residents.	社区中心有一个台球室，里面有两张桌子供居民使用。
word_b24b306ed435	various	repair	human-semantic-followup	现有完整中文例句与人工语义复核	There are various options to choose from.	有多种选择。
word_2a3c5c5fcd06	slogan	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	The company's slogan is 'Just do it'.	公司的口号是“只管去做”。
word_f28299ccc743	refresher	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I took a refresher course in accounting before the job.	我在新工作前参加了一个会计进修课程。
word_977a200d8323	fat	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	This meat has too much fat.	这块肉含有太多脂肪。
word_607f6be103c8	description	repair	unfinished_example	现有中文例句、本地词条字段及人工语义复核	Please give a description of your application.	请描述你的工作。
word_20361e21aab1	careless	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	A careless mistake cost him.	一个粗心的错误让他丢了工作。
word_2184a471b58b	civil	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Civil rights are protected.	公民权利受法律保护。
word_c2d1189db13a	boot	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Put the luggage in the boot of the car.	把行李放在汽车后备箱里。
word_468ef9f7f3a0	rhubarb	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I picked some rhubarb from the garden to make.	我从花园里摘了一些大黄来做派。
word_6d10a83e4016	skin	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Protect your skin from the sun.	保护皮肤免受阳光伤害。
word_3019189ceee8	orient	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	She oriented herself to the job.	她让自己适应了新工作。
word_24647d89a27b	formally	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	You should formally apply for the job.	你应该正式申请这份工作。
word_2cca72c9f448	joy	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The good news brought us great joy.	这个好消息给我们带来了极大的喜悦。
word_c11012dcd962	fracture	repair	human-semantic-followup	现有完整中文例句与人工语义复核	He suffered a fracture in his arm.	他的手臂骨折了。
word_5496d4359d11	correspondent	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The foreign correspondent reported on the war.	外国记者报道了战争。
word_6882696da11a	mud	repair	unfinished_example,space_before_punctuation,manual-priority-review	现有中文例句、本地词条字段及人工语义复核	The car got stuck in the mud.	汽车陷在泥里。
word_3bbc9ad96500	ago	repair	manual-priority-review	现有中文例句、本地词条字段及人工语义复核	I moved here two years ago.	我两年前搬到这里。
word_29949eb53ec5	experiment	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	We conducted an experiment in the laboratory.	我们在实验室做了一项实验。
word_5c13258af64d	medicine	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Take this medicine three times.	这药一天吃三次。
word_ab24ba93b493	unlike	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Unlike his brother, he.	和他哥哥不同，他害羞。
word_fd0aa733efbd	gun	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	Hunting with a gun is regulated.	用枪打猎受法律管制。
word_49bb2b667323	printer	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	The printer is out.	打印机没墨了。
word_59891f491673	whole	repair	human-semantic-followup	现有完整中文例句与人工语义复核	I read the whole book in one day.	我一天读完了整本书。
word_21a87d71c09b	irish	repair	human-semantic-followup	现有完整中文例句与人工语义复核	I met an Irish friend at the pub.	我在酒吧遇到一位爱尔兰朋友。
word_8d5a60eb8aab	wake	repair	space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I usually wake up at 7.	我通常早上七点醒来。
word_c7504c1df799	money	repair	unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	I need to withdraw some money from the cash machine.	我需要从自动取款机取些钱。
