word	action	reasonCode	set
god	repair	KEEP_REPAIR	{"example":"Many people believe in God and attend religious services.","exampleCn":"许多人信仰上帝并参加宗教活动。","entryStatus":"second-semantic-review-20260714","pos":"noun","meaning":"神；上帝","definition":"a deity; God in a monotheistic religion"}
guy	repair	KEEP_REPAIR	{"example":"The guy at reception helped me find the meeting room.","exampleCn":"接待处的那个小伙子帮我找到了会议室。","entryStatus":"second-semantic-review-20260714","pos":"noun","meaning":"家伙；小伙子；人（非正式）","definition":"an informal word for a man or person"}
hormone	repair	KEEP_REPAIR	{"example":"This hormone helps regulate growth and metabolism.","exampleCn":"这种激素有助于调节生长和新陈代谢。","entryStatus":"second-semantic-review-20260714"}
immediately	repair	KEEP_REPAIR	{"example":"Please contact the emergency service immediately.","exampleCn":"请立即联系紧急服务部门。","entryStatus":"second-semantic-review-20260714"}
immunity	repair	KEEP_REPAIR	{"example":"Vaccination can provide immunity against certain diseases.","exampleCn":"疫苗接种可以使人对某些疾病产生免疫力。","entryStatus":"second-semantic-review-20260714"}
independently	repair	KEEP_REPAIR	{"example":"Trainees must complete the final task independently.","exampleCn":"学员必须独立完成最后一项任务。","entryStatus":"second-semantic-review-20260714"}
inevitably	repair	KEEP_REPAIR	{"example":"Rapid growth inevitably creates pressure on public services.","exampleCn":"快速增长不可避免地会给公共服务带来压力。","entryStatus":"second-semantic-review-20260714"}
inspire	repair	KEEP_REPAIR	{"example":"Her speech inspired the volunteers to continue their work.","exampleCn":"她的演讲激励志愿者继续工作。","entryStatus":"second-semantic-review-20260714"}
invoke	repair	KEEP_REPAIR	{"example":"The lawyer invoked a clause in the contract.","exampleCn":"律师援引了合同中的一项条款。","entryStatus":"second-semantic-review-20260714","pos":"verb","meaning":"援引；调用；唤起","definition":"to cite as authority, call on, or cause a response or memory"}
involuntarily	repair	KEEP_REPAIR	{"example":"He involuntarily stepped back when the alarm sounded.","exampleCn":"警报响起时，他不由自主地后退了一步。","entryStatus":"second-semantic-review-20260714","pos":"adverb","meaning":"不由自主地；无意识地","definition":"without conscious control or intention"}
irritate	repair	KEEP_REPAIR	{"example":"Strong cleaning chemicals can irritate the skin.","exampleCn":"强力清洁化学品会刺激皮肤。","entryStatus":"second-semantic-review-20260714","pos":"verb","meaning":"刺激；使恼怒","definition":"to cause physical discomfort or make someone annoyed"}
justice	repair	KEEP_REPAIR	{"example":"The court system should provide justice for every citizen.","exampleCn":"司法系统应当为每位公民伸张正义。","entryStatus":"second-semantic-review-20260714"}
mathematics	repair	KEEP_REPAIR	{"example":"She studies mathematics at a local college.","exampleCn":"她在当地一所学院学习数学。","entryStatus":"second-semantic-review-20260714"}
mineral	repair	KEEP_REPAIR	{"example":"The water contains several important minerals.","exampleCn":"这种水含有几种重要矿物质。","entryStatus":"second-semantic-review-20260714"}
mount	repair	KEEP_REPAIR	{"example":"Pressure is mounting on the council to improve services.","exampleCn":"要求市政委员会改善服务的压力正在增加。","entryStatus":"second-semantic-review-20260714","pos":"verb/noun","meaning":"登上；安装；增加；山","definition":"to climb, attach, or increase; a mountain or support"}
