id	word	action	reason	evidence	expectedMeaningHash	expectedExampleHash
word_a5c96bc8a871	deskjob	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	8ba79dd1cd7b79ae0c74973f3c3ad343a598fd9ded754c58e3f51807a990c8b6	4249f7f205c52df4471561cdc5c9b7cca86d7c2e4aaad6a6b7021c17e7089a8b
word_895371520a0f	leed	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	e8117a1d9977057787718ed44fba19b0df9ccafbb848f10babc0e076e0547c03	81117fff00c718936b66d23ede402b576be62cf7df6a3b717016679829ce2ec8
word_bd34b64ef84a	overcome	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	c39d51709b56f13180c8df3f4978c6d5ba6261fa8f7f79a174be1521dec6908f	5c276dc77dc4710d17c96e825c44ea62a197ecfc1de5e91dc75c163d20ea65cf
word_bf24c6305b06	alter	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	08ffd933aa8b6560b8c66543d4e2e695092fb872f4ae2a85678da1934b1959c5	e4b097f660b415025faf1027509440bebea2e6f2bfd54c63ee7d305224479493
word_bf7b639e07e0	murmur	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	257c42503dc421778e5321ff9a4dac5ff9d961fc3ef3ff05366919a10d8db7d3	10265c668ca67c5e29a64de2fd0b3f58b1a2559baf5bb229b094afc2a5a4a0a7
word_9d353ebda1d1	offer	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	6eb23fd8b4abd6f8ea809726b129fda93fb95daa8730f97928492b6c37043c50	aaa0a3042d3044faab0ea1c21b51324e9fc478a81d33982d18186e299797e9b5
word_9e679ae50db6	offerletter	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	21075e5152c4941fce5c68d1c7be7826d2ba5e588c7d0812a7c0f7d2e98efc45	b8a6ef2811aabceaaf206eca302b2efc230fbc953bc3e1981baf1abcb7758496
word_8c8ff90cb50c	gardenleave	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	ca5b7064bc106b703bb3489298fed6419da7bb641fcda4082669594dd8e8019f	8ff56a5121998820a1a1fe5ec457c4b8f970a1c2ffa26d46cf00cd0f9b4ab38e
word_1e73a0e9e274	happen	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	91fb1019187f29b02916850203b8570f738a86e129fbe16dbf9ab6c14a59412f	9dd614721038422eb11c407f0387526b64c515113e876c35b19424b427237d45
word_7764979f3a43	dead	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	6d75f62e67d50456bd4645aecdbd0abe0ce8e686e40821fee2cbde71cec3ac4c	b1a80816b03bb8cae07f38a92af58ddd902ba39f19172a9c4cad50ff0a397ed8
word_0ef0eaee90bc	customsdeclaration	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	e66e3312357e21ad2503f51f24ef0f5a1e5aff1172e20b591d2f32ead10fe39b	11b20e2c030b1953b1c87c362e2cfd28a1694fa65458c4effd2daee62e7eac62
word_7a1cefb26bb1	steal	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	54fca92577a4b86f3195bb1a706593e903bcf9140e2b0522a7a480c699fbbc75	0fde3d8ce379b80462902d8a5285faba8d49fa3b9f683f9fbeb119c2ba03ac96
word_bd4049528973	stick	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	8e03d8094a522b3e9b886962d3ca1389b1f19421408ccd67194f8280b75d7a2c	b2c8d4b633121181847b3c137dff92c62767aa1bba0fa9bc7b7dac7c9182c944
word_7db1a71407d2	yet	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	75e70212ebce10c36cf7a4628c92f661c82663025a0099ccc44ceb25b45f01c8	d39a3ae5ac05a5520fc428d323098ca1f419a78611abbe075d72eaf7f8ebc1bc
word_f5667f5f0148	swing	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	99d1d7210735411d3234caecc5291cb70264d5ec7ddb4c145887f6f017cc054f	4f0dc4bc94bd0fec10ed1df26626ddb46b27cc74fc46ab80e58a72732b37a991
word_d10dd4099bc2	complicate	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	3b23fc32218102a926fdddd98234f5107c47a09cda76ee443ec187f83dca3d3d	252151de63482b79247fb39a87c6e822cff1dd297c2b4e0160e99848fe3a72ed
word_7a732899006a	low	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	b530968bc2e75189c2b3b1a071f0ed2e69b5211203e32af32f6c34fc629e4517	4c2cceb3ed582bd47231d890fe69bc1dcd8a1661140c2a0fcf675764ad9410ca
word_69a7d5d27a2e	supportingdocument	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	2015f975a8be94d245a473b853e0c77d28cb14ef35aa76ea10f2afcf843bac87	8b40ca47bf203e855b88793ad4fa58b7b313bef9dcb17aefe28ac9ded578f46a
word_5954749368d0	shoot	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	00bb5e22c07439edefbfc2fbbacac414d9838ecae96d83a8696ed3b361f7d270	3b625e7a4ecb85e0f0870db6d5ab3743799785211f6a398f26c21efe2043e124
word_fcc8d09c981d	subjectline	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	97b852c90bb472367e6b99b38b5be564905670f9ac6bb7c52ac5aca0f8e4d833	bee7d1b33fc4683e8ed035d033d1e00e2dd01582d1422d8025296a2875c8d5dd
word_469da98eb134	counciltax	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	6330077be5b38f22dcf1dab08a87ae482b5813b21c8227bc6e610244659bc77a	72fa11a7382116226bc046de62f53527fafc7fbc7a64b6bc19a4797d03dc720c
word_0f0bf4f26d9a	evictionnotice	defer	REJECTED_LOW_CONFIDENCE_AUTO_FIX	词形归一化后仍未命中；本轮不自动重写	af1457afde594edd0fe65e357d92ea4b1d2eafe361144bdd81697ec251a47934	2b6dad7362b2a830dbf32049b120e16431b2c70212fdca4c20060639a1035a4e
