word	set	addSenses	addCollocations	addPhraseCollocations	addTopics	addIeltsUse	replaceSenses	auditNote
litter	"{""meaning"":""垃圾；一窝幼崽；枯枝落叶层"",""meaningDetailedZh"":""垃圾；一窝幼崽；森林枯枝落叶层""}"	"[{""gloss"":""森林枯枝落叶层"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-kauri-gum""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
gum	"{""meaning"":""树胶；树脂；口香糖；牙龈"",""meaningDetailedZh"":""树胶；树脂；口香糖；牙龈""}"	"[{""gloss"":""树胶；树脂"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-kauri-gum""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
spell	"{""meaning"":""拼写；咒语；一段时间；一阵"",""meaningDetailedZh"":""拼写；咒语；一段时间或一阵""}"	"[{""gloss"":""一段时间；一阵"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-kauri-gum""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
conductor	"{""meaning"":""指挥；售票员；导体；传导体"",""meaningDetailedZh"":""指挥；售票员；导体或传导体""}"	"[{""gloss"":""导体；传导体"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
bill	"{""pos"":""noun/verb"",""meaning"":""账单；法案；把……宣传或描述为"",""meaningDetailedZh"":""账单；法案；把……宣传或描述为""}"	"[{""gloss"":""把……宣传或描述为"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
crisp	"{""meaning"":""脆的；清新的；清冷明净的"",""meaningDetailedZh"":""脆的；清新的；清冷明净的""}"	"[{""gloss"":""清冷而明净的；清新的"",""posFamily"":""adjective"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
bathe	"{""meaning"":""洗澡；沐浴；使笼罩在光线中"",""meaningDetailedZh"":""洗澡；沐浴；使笼罩在光线中""}"	"[{""gloss"":""使笼罩在光线中；沐浴在……中"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
penetrate	"{""meaning"":""穿透；渗透；深入"",""meaningDetailedZh"":""穿透；渗透；深入或进入内部""}"	"[{""gloss"":""深入；进入内部"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
base	"{""meaning"":""基础；基地；工作站"",""meaningDetailedZh"":""基础；基地；工作或研究站""}"	"[{""gloss"":""工作基地；研究站"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-field-station""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
fuel	"{""meaning"":""燃料；加油；加剧；推动"",""meaningDetailedZh"":""燃料；加油；加剧或推动某种过程""}"	"[{""gloss"":""加剧；推动；助长"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-eutrophication""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
support	"{""meaning"":""支持；资助；支撑；供养；维持"",""meaningDetailedZh"":""支持；资助；支撑；供养或维持""}"	"[{""gloss"":""供养；为……提供栖息条件；维持"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-ecosystems""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
