id	word	action	setJson	addFormsJson	addMeaningsJson	addQuizSensesJson	reason	evidence	expectedMeaningHash	expectedExampleHash
word_2e60871558f2	issue	add-sense	{"definition":"an important subject or problem for discussion","meaningDetailedZh":"作名词常指需要讨论或解决的问题，也可指公共议题；在通知和投诉语境中尤其常见。","meaningDetailZh":""}		[{"gloss":"问题；待解决事项","posFamily":"noun","label":"一般问题","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The main issue is the lack of affordable housing.","evidenceConfidence":"high"}],"order":1},{"gloss":"议题；争议事项","posFamily":"noun","label":"公共讨论","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The main issue is the lack of affordable housing.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_2e60871558f2-semantic-v1-1","quizMeaningZh":"问题；待解决事项","meaningDetailedZh":"问题；待解决事项","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_2e60871558f2-semantic-v1-2","quizMeaningZh":"议题；争议事项","meaningDetailedZh":"议题；争议事项","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	708168c1d8524d88071f098e1e4a30208f696b34748b976af13848a251912983	751f24651b55b1f42805b90f92e2fbe6a478a79f59329ad00fdf6626a14ee5b8
word_77f66e6487c8	charge	add-sense	{"definition":"to ask someone to pay a price, or an amount of money asked for a service","meaningDetailedZh":"可作动词表示收费或指控，也可作名词表示费用；电子设备语境中还表示充电。","meaningDetailZh":""}		[{"gloss":"收费；费用","posFamily":"noun/verb","label":"服务与账单","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"They charge $10 for admission.","evidenceConfidence":"high"}],"order":1},{"gloss":"指控","posFamily":"noun/verb","label":"法律","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"They charge $10 for admission.","evidenceConfidence":"high"}],"order":2},{"gloss":"充电","posFamily":"verb","label":"设备","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"They charge $10 for admission.","evidenceConfidence":"high"}],"order":3}]	[{"senseId":"word_77f66e6487c8-semantic-v1-1","quizMeaningZh":"收费；费用","meaningDetailedZh":"收费；费用","posFamily":"noun/verb","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_77f66e6487c8-semantic-v1-2","quizMeaningZh":"指控","meaningDetailedZh":"指控","posFamily":"noun/verb","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_77f66e6487c8-semantic-v1-3","quizMeaningZh":"充电","meaningDetailedZh":"充电","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	b3ab61a23fa168f537f5a6bd41cec589fe9569de389d8ec523a17b2e023463a5	2266624833e70d91ee66f5025ddfaebced557cc1e0629f4b46024a0a6500a91a
word_b4d6446b72e7	claim	add-sense	{"definition":"to say that something is true or to ask formally for money or a right","meaningDetailedZh":"既可表示声称，也常用于保险、福利和退款语境，表示正式索赔或申领。","meaningDetailZh":""}		[{"gloss":"声称；主张","posFamily":"verb","label":"陈述","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"He claims to be the owner.","evidenceConfidence":"high"}],"order":1},{"gloss":"索赔；申领","posFamily":"noun/verb","label":"保险与福利","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"He claims to be the owner.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_b4d6446b72e7-semantic-v1-1","quizMeaningZh":"声称；主张","meaningDetailedZh":"声称；主张","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_b4d6446b72e7-semantic-v1-2","quizMeaningZh":"索赔；申领","meaningDetailedZh":"索赔；申领","posFamily":"noun/verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	e2c3ed2762bb6c462efe13626c74973ed05083270ba1b13c0a02f71ba8843f72	ac83a35d407842c2c6df997a9ca04a010fe92d9a8961af30a5265e9b0afa164f
word_fc721529e7b1	cover	add-sense	{"definition":"to place something over another thing, include a subject, or protect against a cost","meaningDetailedZh":"除覆盖外，在课程中可表示涵盖内容，在保险语境中表示承保或承担费用。","meaningDetailZh":""}		[{"gloss":"覆盖；遮盖","posFamily":"verb","label":"物理动作","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The insurance policy covers medical expenses.","evidenceConfidence":"high"}],"order":1},{"gloss":"涵盖；涉及","posFamily":"verb","label":"内容范围","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The insurance policy covers medical expenses.","evidenceConfidence":"high"}],"order":2},{"gloss":"承保；承担费用","posFamily":"verb","label":"保险","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The insurance policy covers medical expenses.","evidenceConfidence":"high"}],"order":3}]	[{"senseId":"word_fc721529e7b1-semantic-v1-1","quizMeaningZh":"覆盖；遮盖","meaningDetailedZh":"覆盖；遮盖","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_fc721529e7b1-semantic-v1-2","quizMeaningZh":"涵盖；涉及","meaningDetailedZh":"涵盖；涉及","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_fc721529e7b1-semantic-v1-3","quizMeaningZh":"承保；承担费用","meaningDetailedZh":"承保；承担费用","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	44a53c4c9785f9ba7e19c6df111fe4427515e253e4504b363c3ceb24b644a080	dabab8da52f4fc386691baca6a1567dee85d3d5d1a93c0ed6b6adf5ecca74d36
word_3c9a3be2e7de	account	add-sense	{"definition":"an arrangement with a bank or service, or a description of an event","meaningDetailedZh":"常指银行或网络账户；在阅读中也可表示对事件的叙述或说明。","meaningDetailZh":""}		[{"gloss":"账户；账号","posFamily":"noun","label":"银行与服务","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"I need to check my bank account.","evidenceConfidence":"high"}],"order":1},{"gloss":"叙述；说明","posFamily":"noun","label":"阅读","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"I need to check my bank account.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_3c9a3be2e7de-semantic-v1-1","quizMeaningZh":"账户；账号","meaningDetailedZh":"账户；账号","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_3c9a3be2e7de-semantic-v1-2","quizMeaningZh":"叙述；说明","meaningDetailedZh":"叙述；说明","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	0067fd63de5e794d1b8e031f043bb83613c750c1f00c7896a636dd97f2b93c76	8020a10fbad92ff4a9b5e9bd6d2a88c480879bcd0ba507bdc2ce9eacf83db6b4
word_9444d8ec16d7	notice	add-sense	{"definition":"information or a warning given in writing, or the act of becoming aware of something","meaningDetailedZh":"作名词常指通知、公告或提前告知期；作动词表示注意到。","meaningDetailZh":""}		[{"gloss":"通知；公告","posFamily":"noun","label":"公共信息","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"Did you notice the sign? / Notice period.","evidenceConfidence":"high"}],"order":1},{"gloss":"提前通知","posFamily":"noun","label":"租赁与工作","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"Did you notice the sign? / Notice period.","evidenceConfidence":"high"}],"order":2},{"gloss":"注意到","posFamily":"verb","label":"感知","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"Did you notice the sign? / Notice period.","evidenceConfidence":"high"}],"order":3}]	[{"senseId":"word_9444d8ec16d7-semantic-v1-1","quizMeaningZh":"通知；公告","meaningDetailedZh":"通知；公告","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_9444d8ec16d7-semantic-v1-2","quizMeaningZh":"提前通知","meaningDetailedZh":"提前通知","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_9444d8ec16d7-semantic-v1-3","quizMeaningZh":"注意到","meaningDetailedZh":"注意到","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	df45e19786cd163fd73f63d9a6d384c8c858d7e379fac2a43262a858d4577f66	c8fabddb2e7c1e726293a8040a84fd240d4eaad5ab7a758b3ebfd3fb388c97e2
word_80f381141d0e	due	add-sense	{"definition":"expected or required at a particular time, or caused by something","meaningDetailedZh":"可表示到期、应支付，也用于 due to 表示由于；注意不同结构对应不同词性功能。","meaningDetailZh":""}		[{"gloss":"到期的；应支付的","posFamily":"adjective","label":"时间与付款","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The report is due tomorrow.","evidenceConfidence":"high"}],"order":1},{"gloss":"由于","posFamily":"preposition phrase","label":"due to","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The report is due tomorrow.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_80f381141d0e-semantic-v1-1","quizMeaningZh":"到期的；应支付的","meaningDetailedZh":"到期的；应支付的","posFamily":"adjective","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_80f381141d0e-semantic-v1-2","quizMeaningZh":"由于","meaningDetailedZh":"由于","posFamily":"preposition phrase","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	d9fdc38f2c0e0dc6f565168bce47cb05863547949b7cb3c458fe0c4cc739e698	387ecef66a956ca6b7d5202708bd427e29ea22d1f558578ded150f42fce9e2b5
word_702c3197ab08	rent	add-sense	{"definition":"money paid regularly for the use of a room, building or land","meaningDetailedZh":"通常指按期支付的房租或租金；作动词时表示租用或出租。","meaningDetailZh":""}		[{"gloss":"租金；房租","posFamily":"noun","label":"住房","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The rent is due on the first of the month.","evidenceConfidence":"high"}],"order":1},{"gloss":"租用；出租","posFamily":"verb","label":"住房","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"The rent is due on the first of the month.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_702c3197ab08-semantic-v1-1","quizMeaningZh":"租金；房租","meaningDetailedZh":"租金；房租","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_702c3197ab08-semantic-v1-2","quizMeaningZh":"租用；出租","meaningDetailedZh":"租用；出租","posFamily":"verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段核心；现有例句与本地编辑复核	d021adf4e13139be1f6668bc83eb260202827dfe62cc839e22c11e345ed09c03	7ea42eca65ddec33e0c95085acb448e03d7f65903b226da09d85298767826d95
word_e8cb890d2735	deposit	add-sense	{"definition":"money paid in advance as security, or money placed in a bank account","meaningDetailedZh":"住房语境常指押金，银行语境指存款；作动词可表示存入或放下。","meaningDetailZh":""}		[{"gloss":"押金","posFamily":"noun","label":"租赁","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"I paid a deposit for the apartment.","evidenceConfidence":"high"}],"order":1},{"gloss":"存款；存入","posFamily":"noun/verb","label":"银行","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"I paid a deposit for the apartment.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_e8cb890d2735-semantic-v1-1","quizMeaningZh":"押金","meaningDetailedZh":"押金","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_e8cb890d2735-semantic-v1-2","quizMeaningZh":"存款；存入","meaningDetailedZh":"存款；存入","posFamily":"noun/verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段2；现有例句与本地编辑复核	2c378073f42ce349661d2bd3c0d2f28e88c48195eb99522cfa4133b67912dfdd	9d0c40d4a2d6cedf2cbdca00f30a6150d68c4728355caeb7d0ea13e2ed21343a
word_4337f95a01f8	shift	add-sense	{"definition":"a period of work or a change in position, direction or opinion","meaningDetailedZh":"工作语境中指轮班或班次；阅读中也常表示位置、趋势或观点的转变。","meaningDetailZh":""}		[{"gloss":"轮班；班次","posFamily":"noun","label":"工作","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"There has been a shift in public opinion.","evidenceConfidence":"high"}],"order":1},{"gloss":"转变；移动","posFamily":"noun/verb","label":"变化","confidence":"high","evidence":[{"sourceType":"existing-entry-and-local-editorial","sourceBook":"","sourceTest":"","sourceSection":"","contextSnippet":"There has been a shift in public opinion.","evidenceConfidence":"high"}],"order":2}]	[{"senseId":"word_4337f95a01f8-semantic-v1-1","quizMeaningZh":"轮班；班次","meaningDetailedZh":"轮班；班次","posFamily":"noun","confidence":"high","source":"semantic-quality-v1"},{"senseId":"word_4337f95a01f8-semantic-v1-2","quizMeaningZh":"转变；移动","meaningDetailedZh":"转变；移动","posFamily":"noun/verb","confidence":"high","source":"semantic-quality-v1"}]	CORE_GT_STAGE_1_2	G类阶段1；现有例句与本地编辑复核	4e9664c99a97383268f87a979b4e58771aafacc5b207b42a434034655ad43bc5	028790e1425be0601e788694bcdc988f40a83bca5105dfab32c37ec9cf377779
