word	set	addSenses	addCollocations	addPhraseCollocations	addTopics	addIeltsUse	replaceSenses	auditNote
hip	"{""example"":""He injured his hip when he fell."",""exampleCn"":""他摔倒时伤到了髋部。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
ditch	"{""example"":""They ditched the old plan after the review."",""exampleCn"":""评估后，他们放弃了旧计划。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
squash	"{""example"":""I accidentally squashed the insect."",""exampleCn"":""我不小心压死了那只昆虫。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
wink	"{""example"":""He winked at her across the room."",""exampleCn"":""他隔着房间向她眨了眨眼。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
matthew	"{""example"":""Matthew bought a new car last week."",""exampleCn"":""马修上周买了一辆新车。"",""entryStatus"":""example-repaired-gt-20260714"",""pos"":""proper noun"",""meaning"":""马修（男子名）"",""definition"":""a male given name"",""difficulty"":""低频认识即可"",""category"":""IELTS G类 · 专名参考"",""studyMode"":""reference"",""gtPlanStage"":4}"							修复残缺或语法不完整的英文例句。
hot	"{""example"":""The soup is still hot."",""exampleCn"":""汤还是热的。"",""entryStatus"":""example-repaired-gt-20260714""}"							修复残缺或语法不完整的英文例句。
morepork	"{""pos"":""noun"",""meaning"":""莫尔波克鹰鸮；新西兰鹰鸮"",""definition"":""a small owl native to New Zealand"",""example"":""The morepork called from the forest at night."",""exampleCn"":""夜间，莫尔波克鹰鸮在森林中鸣叫。"",""difficulty"":""低频认识即可"",""category"":""IELTS G类 · 真题专业参考"",""studyMode"":""reference"",""gtPlanStage"":4,""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
moreporks	"{""pos"":""noun plural"",""meaning"":""莫尔波克鹰鸮（复数）"",""definition"":""plural of morepork, a small owl native to New Zealand"",""example"":""The moreporks called loudly in the night."",""exampleCn"":""夜间，莫尔波克鹰鸮发出响亮的鸣叫。"",""difficulty"":""低频认识即可"",""category"":""IELTS G类 · 真题专业参考"",""studyMode"":""reference"",""gtPlanStage"":4,""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
scholars	"{""pos"":""noun plural"",""meaning"":""学者；奖学金获得者"",""definition"":""people with extensive academic knowledge; people holding scholarships"",""example"":""The scholars presented their research at the conference."",""exampleCn"":""这些学者在会议上介绍了他们的研究。"",""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
conducted	"{""pos"":""verb"",""meaning"":""进行；实施；引导；指挥（conduct的过去式/过去分词）"",""definition"":""past tense and past participle of conduct"",""example"":""The researchers conducted a detailed survey."",""exampleCn"":""研究人员开展了一项详细调查。"",""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
fibres	"{""pos"":""noun plural"",""meaning"":""纤维（fibre的复数）"",""definition"":""plural of fibre"",""example"":""The material contains strong natural fibres."",""exampleCn"":""这种材料含有坚韧的天然纤维。"",""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
voted	"{""pos"":""verb"",""meaning"":""投票；表决（vote的过去式/过去分词）"",""definition"":""past tense and past participle of vote"",""example"":""The members voted in favour of the proposal."",""exampleCn"":""成员们投票赞成这项提议。"",""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
postures	"{""pos"":""noun plural"",""meaning"":""姿势；姿态（posture的复数）"",""definition"":""plural of posture"",""example"":""Poor working postures can cause back pain."",""exampleCn"":""不良工作姿势可能引起背痛。"",""entryStatus"":""editorially-reviewed-gt-20260714""}"							修复明显错误、占位标记或不完整词性。
