word	pos	meaning	definition	example	exampleCn	gtPlanStage	difficulty	category	studyMode	topics	collocations
papyrus	noun	莎草；纸莎草；纸莎草纸	a tall wetland plant, or writing material made from it	Ancient records were written on papyrus.	古代记录写在纸莎草纸上。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","历史","植物"]	[]
kauri	noun	贝壳杉	a very large evergreen tree native to New Zealand	Kauri trees once formed vast forests in northern New Zealand.	贝壳杉曾在新西兰北部形成大片森林。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","植物","历史"]	[]
automaton	noun	自动机械；自动装置；机械人偶	a machine designed to operate by itself	The museum displayed a mechanical automaton.	博物馆展出了一台机械自动装置。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","科技","历史"]	[]
sandpiper	noun	鹬	a small shore bird with a long beak	Sandpipers feed on small creatures in coastal mud.	鹬在海岸泥地中以小型生物为食。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","动物","海洋"]	[]
palaeontologist	noun	古生物学家	a scientist who studies fossils	A palaeontologist examined the fossil bones.	一名古生物学家检查了这些化石骨骼。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","科学","历史"]	[]
aphid	noun	蚜虫	a small insect that feeds on plant sap	Aphids can carry viruses between plants.	蚜虫可以在植物之间传播病毒。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","农业","昆虫"]	[]
varnish	noun/verb	清漆；罩光漆；给……涂清漆	a clear protective coating for wood or other surfaces	High-quality gum was used to manufacture furniture varnish.	高品质树胶曾用于制造家具清漆。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","材料","历史"]	[]
hare	noun	野兔	a fast-running animal related to a rabbit	The hare shelters in open grassland.	野兔栖息在开阔草地中。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","动物"]	[]
leveret	noun	幼野兔	a young hare	A leveret is born with fur and open eyes.	幼野兔出生时已有毛发并睁着眼睛。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","动物"]	[]
nitroglycerine	noun	硝化甘油	an explosive liquid also used in medicine	Nitroglycerine must be handled with great care.	硝化甘油必须非常谨慎地处理。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","化学","安全"]	[]
coasteering	noun	海岸探险运动	an outdoor activity involving climbing, swimming and jumping along a rocky coast	Coasteering requires suitable safety equipment.	海岸探险运动需要合适的安全装备。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","运动","旅行"]	[]
lagoon	noun	潟湖；环礁湖	a shallow area of water separated from the sea	The birds breed beside the coastal lagoon.	这些鸟在沿海潟湖旁繁殖。	4	低频认识即可	IELTS G类 · 真题专业参考	reference	["G类完整学习计划","G类完整学习计划·阶段4","海洋","地理"]	[]
