word	pos	meaning	definition	example	exampleCn	gtPlanStage	difficulty	category	studyMode	topics	collocations
practicable	adjective	可行的；行得通的	able to be done successfully or put into practice	Temporary platforms should be used when permanent protection is not practicable.	当永久防护措施不可行时，应使用临时平台。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","工作","安全","制度"]	[]
measurable	adjective	可衡量的；可测量的	large or clear enough to be measured	The training programme produced a measurable improvement in safety.	该培训项目使安全状况得到可衡量的改善。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","工作","研究","项目"]	[]
achievable	adjective	可实现的；可达到的	possible to achieve	The target is challenging but achievable.	这个目标具有挑战性，但可以实现。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","工作","教育","项目"]	[]
proactive	adjective	积极主动的；主动采取行动的	taking action to control a situation before problems occur	Employers should take a proactive approach to workplace safety.	雇主应主动采取措施保障工作场所安全。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","工作","安全"]	[]
employable	adjective	具备就业能力的；适合受雇的	having the skills and qualities needed to get a job	The course helps young people become more employable.	这门课程帮助年轻人提高就业能力。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","工作","培训","教育"]	[]
waterproof	adjective	防水的；不透水的	not allowing water to pass through	The jacket is waterproof and suitable for outdoor work.	这件夹克防水，适合户外工作。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","产品","户外","安全"]	[]
communicable	adjective	可传染的；可传播的	able to be passed from one person or animal to another	The clinic provides advice on communicable diseases.	该诊所提供有关传染病的建议。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","健康","公共服务"]	[]
biohazard	noun	生物危害；生物性危险物	a biological substance that is dangerous to people or the environment	Biohazard waste must be placed in a clearly marked container.	生物危害废物必须放入有清晰标记的容器中。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","健康","安全","环境"]	[]
complacent	adjective	自满的；掉以轻心的	too satisfied with a situation to notice possible danger	Workers must not become complacent about routine safety checks.	员工不能对日常安全检查掉以轻心。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","工作","安全"]	[]
unrestricted	adjective	不受限制的；无限制的	not limited or controlled	Members have unrestricted access to the online library.	会员可以不受限制地使用在线图书馆。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","服务","规定","教育"]	[]
deficient	adjective	缺乏的；不足的；有缺陷的	not having enough of something necessary	A diet deficient in iron may cause health problems.	缺铁的饮食可能引发健康问题。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","健康","研究"]	[]
unregulated	adjective	未受监管的；未受管制的	not controlled by rules or laws	Unregulated services may offer less protection to consumers.	未受监管的服务可能无法充分保护消费者。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","法律","消费","服务"]	[]
uncontrolled	adjective	未受控制的；失控的	not controlled or limited	Uncontrolled pollution can damage an entire ecosystem.	失控的污染可能破坏整个生态系统。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","环境","安全"]	[]
trafficking	noun	非法交易；走私；贩运	the illegal trade in people, animals or goods	The programme aims to reduce wildlife trafficking.	该项目旨在减少野生动物非法交易。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","法律","环境","犯罪"]	[]
poacher	noun	偷猎者；非法捕猎者	a person who illegally hunts or catches animals	Rangers protect the reserve from poachers.	护林员保护该保护区免受偷猎者侵扰。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","环境","法律"]	[]
chargeback	noun	银行拒付；撤销付款；信用卡退款追索	a reversal of a card payment by a bank	Customers may request a chargeback when an item is not delivered.	商品未送达时，顾客可以申请撤销付款。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","消费","银行","法律"]	[{"phrase":"chargeback scheme","chinese":"拒付退款机制"}]
transportable	adjective	可运输的；便于运送的	able to be carried or moved from one place to another	The equipment is light and easily transportable.	这套设备很轻，便于运输。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","产品","交通","设备"]	[]
hibernation	noun	冬眠	a state of greatly reduced activity during winter	The animal survives the winter by entering hibernation.	这种动物通过冬眠度过冬季。	1	中级核心	IELTS G类 · 阅读重点	active-recognition	["G类完整学习计划","G类完整学习计划·阶段1","动物","科学","环境"]	[]
plentiful	adjective	丰富的；充足的	available in large amounts	Fuel is plentiful in the surrounding forest.	周围森林中的燃料十分充足。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","环境","资源"]	[]
tidal	adjective	潮汐的；受潮汐影响的	connected with the regular rise and fall of the sea	The birds feed on the tidal mudflats.	这些鸟在受潮汐影响的泥滩上觅食。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","环境","海洋"]	[]
parasite	noun	寄生虫；寄生生物	an organism that lives on or in another organism and obtains food from it	The parasite changes its outer coat to avoid the host's immune system.	这种寄生虫改变外层结构，以躲避宿主的免疫系统。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","健康","生物"]	[]
pouch	noun	小袋；收纳袋；育儿袋	a small bag or a pocket-like part of an animal	The kit is supplied in a waterproof pouch.	这套工具装在一个防水小袋中。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","产品","动物"]	[]
misuse	noun/verb	误用；滥用	the incorrect or harmful use of something; to use something incorrectly	Misuse of the equipment may cause injury.	错误使用设备可能造成伤害。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","安全","设备"]	[]
metropolis	noun	大都市；重要城市	a very large and important city	The railway helped the small port develop into a metropolis.	铁路帮助这个小港口发展成大都市。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","城市","交通"]	[]
programmable	adjective	可编程的；可预设程序的	able to be controlled by a set of instructions	The cooker has a programmable timer.	这款电饭煲带有可编程定时器。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","科技","产品"]	[]
whichever	determiner/pronoun	无论哪一个；任何一个……都	any one of a limited set, regardless of which	Choose whichever payment method is most convenient.	请选择最方便的付款方式。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","服务","消费"]	[]
polyester	noun	聚酯；聚酯纤维	a synthetic material used to make fabric and other products	The bag is made from durable polyester.	这个包由耐用的聚酯纤维制成。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","材料","产品"]	[]
swan	noun	天鹅	a large water bird with a long neck	The wetland provides a winter habitat for swans.	这片湿地为天鹅提供冬季栖息地。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","动物","环境"]	[]
beak	noun	鸟喙；鸟嘴	the hard pointed mouth of a bird	The bird uses its long beak to find food in the mud.	这种鸟用长喙在泥中寻找食物。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","动物","环境"]	[]
wintry	adjective	寒冷的；冬季般的	cold and typical of winter	The wintry landscape was covered in untouched snow.	寒冷的冬日景观覆盖着未被踩踏的积雪。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","天气","旅行"]	[]
cordial	adjective/noun	热情友好的；甜味果汁饮料	warm and friendly; a sweet concentrated fruit drink	The meal was served with cloudberry cordial.	这顿饭配有云莓甜味果汁饮料。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","饮食","社交"]	[{"phrase":"a cordial welcome","chinese":"热情的欢迎"},{"phrase":"fruit cordial","chinese":"浓缩果汁饮料"}]
chalky	adjective	粉笔状的；白垩质的	having the colour or texture of chalk	The lowest-quality gum was soft and chalky.	最低品质的树胶质地柔软，呈粉笔状。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","材料","自然"]	[]
conifer	noun	针叶树	a tree that produces cones and usually has needle-shaped leaves	The valley was surrounded by conifer trees.	山谷四周是针叶树。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","植物","环境"]	[]
boggy	adjective	泥泞的；沼泽般的	soft and wet like a bog	In summer, much of the forest becomes boggy.	夏季时，大片森林会变得泥泞。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","环境","地理"]	[]
ambience	noun	氛围；环境气氛	the character or feeling of a place	The quiet forest created a magical ambience.	安静的森林营造出神奇的氛围。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","旅行","描述"]	[]
moderating	adjective/participle	使缓和的；调节性的	making something less extreme	The ocean has a moderating effect on air temperature.	海洋对气温具有调节作用。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","气候","环境"]	[]
smallholder	noun	小农户；小规模农场主	a farmer who owns or manages a small farm	Researchers worked closely with smallholder farmers.	研究人员与小农户密切合作。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","农业","工作"]	[]
eradication	noun	根除；消灭	the complete removal or destruction of something harmful	The project is testing disease-eradication strategies.	该项目正在测试疾病根除策略。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","健康","农业"]	[]
overfishing	noun	过度捕捞	catching so many fish that populations cannot recover	Overfishing is one cause of declining fish stocks.	过度捕捞是鱼类种群下降的原因之一。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","海洋","环境"]	[]
starvation	noun	饥饿；匮乏；（氧气等）耗尽	severe lack of food or another essential substance	Excess nutrients can cause oxygen starvation in the sea.	过量营养物质可能导致海洋缺氧。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","健康","环境"]	[]
cod	noun	鳕鱼	a large sea fish used as food	Some cod populations have declined sharply.	一些鳕鱼种群已经大幅下降。	2	阅读扩展	IELTS G类 · 阅读扩展	active-recognition	["G类完整学习计划","G类完整学习计划·阶段2","海洋","食物"]	[]
