word	action	reasonCode	set
arkin	delete	DELETE_PROPER_OR_SOURCE	
ass	delete	DELETE_LOW_UTILITY_OFFENSIVE	
atkin	delete	DELETE_PROPER_OR_SOURCE	
attine	delete	DELETE_SPECIALIST_TAXON	
baumeister	delete	DELETE_PROPER_OR_SOURCE	
beekman	delete	DELETE_PROPER_OR_SOURCE	
behaviours	delete	DELETE_INFLECTED_DUPLICATE	
blackledge	delete	DELETE_PROPER_OR_SOURCE	
bocherens	delete	DELETE_PROPER_OR_SOURCE	
boiled	delete	DELETE_INFLECTED_DUPLICATE	
bolen	delete	DELETE_PROPER_OR_SOURCE	
brantingham	delete	DELETE_PROPER_OR_SOURCE	
brunel	delete	DELETE_PROPER_OR_SOURCE	
caral	delete	DELETE_PROPER_OR_SOURCE	
cardano	delete	DELETE_PROPER_OR_SOURCE	
cestius	delete	DELETE_PROPER_OR_SOURCE	
cheney	delete	DELETE_PROPER_OR_SOURCE	
chomsky	delete	DELETE_PROPER_OR_SOURCE	
colladon	delete	DELETE_PROPER_OR_SOURCE	
connell	delete	DELETE_PROPER_OR_SOURCE	
cuddie	delete	DELETE_PROPER_OR_SOURCE	
currie	delete	DELETE_PROPER_OR_SOURCE	
cyriacus	delete	DELETE_PROPER_OR_SOURCE	
despommier	delete	DELETE_PROPER_OR_SOURCE	
douady	delete	DELETE_PROPER_OR_SOURCE	
duchaine	delete	DELETE_PROPER_OR_SOURCE	
dunlop	delete	DELETE_PROPER_OR_SOURCE	
eighty-eight	delete	DELETE_COMPOSITIONAL_NUMBER	
eighty-four	delete	DELETE_COMPOSITIONAL_NUMBER	
eighty-one	delete	DELETE_COMPOSITIONAL_NUMBER	
ekman	delete	DELETE_PROPER_OR_SOURCE	
elsner	delete	DELETE_PROPER_OR_SOURCE	
escovopsis	delete	DELETE_SPECIALIST_TAXON	
fifty-one	delete	DELETE_COMPOSITIONAL_NUMBER	
fishbourne	delete	DELETE_PROPER_OR_SOURCE	
gehry	delete	DELETE_PROPER_OR_SOURCE	
girolamo	delete	DELETE_PROPER_OR_SOURCE	
glaeser	delete	DELETE_PROPER_OR_SOURCE	
godley	delete	DELETE_PROPER_OR_SOURCE	
goya	delete	DELETE_PROPER_OR_SOURCE	
gruter	delete	DELETE_PROPER_OR_SOURCE	
halpern	delete	DELETE_PROPER_OR_SOURCE	
hanson	delete	DELETE_PROPER_OR_SOURCE	
heatherton	delete	DELETE_PROPER_OR_SOURCE	
heilbronn	delete	DELETE_PROPER_OR_SOURCE	
hidcote	delete	DELETE_PROPER_OR_SOURCE	
hokuto	delete	DELETE_PROPER_OR_SOURCE	
holdaway	delete	DELETE_PROPER_OR_SOURCE	
hyde	delete	DELETE_PROPER_OR_SOURCE	
jenness	delete	DELETE_PROPER_OR_SOURCE	
jeremijenko	delete	DELETE_PROPER_OR_SOURCE	
johanson	delete	DELETE_PROPER_OR_SOURCE	
kalin	delete	DELETE_PROPER_OR_SOURCE	
katsalidis	delete	DELETE_PROPER_OR_SOURCE	
lamontagne	delete	DELETE_PROPER_OR_SOURCE	
lennard	delete	DELETE_PROPER_OR_SOURCE	
leonie	delete	DELETE_PROPER_OR_SOURCE	
lovins	delete	DELETE_PROPER_OR_SOURCE	
mama	delete	DELETE_LOW_UTILITY_VARIANT	
manatuto	delete	DELETE_PROPER_OR_SOURCE	
manicouagan	delete	DELETE_PROPER_OR_SOURCE	
mansfield	delete	DELETE_PROPER_OR_SOURCE	
markus	delete	DELETE_PROPER_OR_SOURCE	
marlowe	delete	DELETE_PROPER_OR_SOURCE	
marschner	delete	DELETE_PROPER_OR_SOURCE	
martina	delete	DELETE_PROPER_OR_SOURCE	
mattison	delete	DELETE_PROPER_OR_SOURCE	
