总序号,类别,分组,组内序号,单词/短语,音标,同替词,中文释义,来源链接
1,1,1,1,resemble,/rɪˈzemb(ə)l/,like；look like；be similar to,v.像，与……相似,https://www.guixue.com/apps/word/corpus/10176/21937/1
2,1,1,2,recognize,/ˈrekəɡnaɪz/,perceive；acknowledge；realize；appreciate；admit；identify；comprehend；understand；know,v.认出，识别；承认,https://www.guixue.com/apps/word/corpus/10176/21937/1
3,1,1,3,adjust,/əˈdʒʌst/,change；modify；shift；alter,v.调整，使适合,https://www.guixue.com/apps/word/corpus/10176/21937/1
4,1,1,4,approach,/əˈprəʊtʃ/,method；way,n.方法,https://www.guixue.com/apps/word/corpus/10176/21937/1
5,1,1,5,fundamental,/ˌfʌndəˈment(ə)l/,rudimentary；preliminary；basic,adj.基本的，基础的,https://www.guixue.com/apps/word/corpus/10176/21937/1
6,1,1,6,rely on,,depend on,依靠，依赖,https://www.guixue.com/apps/word/corpus/10176/21937/1
7,1,1,7,domestic,/dəˈmestɪk/,home；local；national,adj.家庭的；国内的,https://www.guixue.com/apps/word/corpus/10176/21937/1
8,1,1,8,measure,/ˈmeʒə(r)/,calculate；assess；evaluate,v.测量,https://www.guixue.com/apps/word/corpus/10176/21937/1
9,1,1,9,trait,/treɪt/,characteristic；feature；property,n.特性，特征,https://www.guixue.com/apps/word/corpus/10176/21937/1
10,1,1,10,coin,/kɔɪn/,first used；invent,v.创造,https://www.guixue.com/apps/word/corpus/10176/21937/1
11,1,1,11,artificial,/ˌɑːtɪˈfɪʃ(ə)l/,synthetic；man-made,adj.人造的，仿造的,https://www.guixue.com/apps/word/corpus/10176/21937/1
12,1,1,12,prompt,/prɒmpt/,initiate；immediately,v.促进，激起,https://www.guixue.com/apps/word/corpus/10176/21937/1
13,1,1,13,exchange,/ɪksˈtʃeɪndʒ/,share；apply A to B,v.交换,https://www.guixue.com/apps/word/corpus/10176/21937/1
14,1,1,14,underlie,/ˌʌndəˈlaɪ/,based on；ground；root,v.成为……基础,https://www.guixue.com/apps/word/corpus/10176/21937/1
15,1,1,15,ignore,/ɪɡˈnɔː(r)/,neglect；overlook；underestimate,v.忽视，不顾,https://www.guixue.com/apps/word/corpus/10176/21937/1
16,1,1,16,fertiliser,/ˈfɜːtəlaɪzə(r)/,chemical；toxic；unnatural,n.化肥，肥料,https://www.guixue.com/apps/word/corpus/10176/21937/1
17,1,1,17,that,/ðæt/,this；it；they；those；these；such,pron.那；那个,https://www.guixue.com/apps/word/corpus/10176/21937/1
18,1,1,18,and,/ænd; ənd/,or；as well as；both...and；not only...but also...；other than；in addition；besides；on the one hand...on the other hand...；neither...nor...,conj.和，而且,https://www.guixue.com/apps/word/corpus/10176/21937/1
19,1,1,19,rather than,,but；yet；however；whereas；nonetheless；nevertheless；although；notwithstanding；instead,而非，不是,https://www.guixue.com/apps/word/corpus/10176/21937/1
20,1,1,20,thanks to,/θæŋks tu/,stem from；derive；owing to；due to；according to；because of；on account of；as a result of；leading to；because；since；for；in that；as；therefore；hence,由于，幸亏,https://www.guixue.com/apps/word/corpus/10176/21937/1
21,2,1,1,diversity,/daɪˈvɜːsəti/,variety；difference,n. 多样性；差异,https://www.guixue.com/apps/word/corpus/10176/21939/1
22,2,1,2,detect,/dɪˈtekt/,find；look for；seek；search,v.查明，发现,https://www.guixue.com/apps/word/corpus/10176/21939/1
23,2,1,3,isolate,/ˈaɪsəleɪt/,inaccessible,"v. 使隔离, 使孤立",https://www.guixue.com/apps/word/corpus/10176/21939/1
24,2,1,4,avoid,/əˈvɔɪd/,escape；evitable,v. 避免,https://www.guixue.com/apps/word/corpus/10176/21939/1
25,2,1,5,budget,/ˈbʌdʒɪt/,fund；financial,n.预算,https://www.guixue.com/apps/word/corpus/10176/21939/1
26,2,1,6,adapt to,/əˈdæpt tu/,fit；suit,使适应,https://www.guixue.com/apps/word/corpus/10176/21939/1
27,2,1,7,alternative,/ɔːlˈtɜːnətɪv/,substitute,adj.供替代的，供选择的 n.替代品,https://www.guixue.com/apps/word/corpus/10176/21939/1
28,2,1,8,compensate,/ˈkɒmpenseɪt/,make up；offset,n.补偿，赔偿,https://www.guixue.com/apps/word/corpus/10176/21939/1
29,2,1,9,component,/kəmˈpəʊnənt/,proportion,n. 成分，要素,https://www.guixue.com/apps/word/corpus/10176/21939/1
30,2,1,10,military,/ˈmɪlətri/,weapon；army,adj.军事的,https://www.guixue.com/apps/word/corpus/10176/21939/1
31,2,1,11,criteria,/kraɪˈtɪəriə/,standard,n. 标准,https://www.guixue.com/apps/word/corpus/10176/21939/1
32,2,1,12,curriculum,/kəˈrɪkjələm/,syllabus；course of study,n. 课程,https://www.guixue.com/apps/word/corpus/10176/21939/1
33,2,1,13,feasible,/ˈfiːzəb(ə)l/,realistic；viable,adj.可行的,https://www.guixue.com/apps/word/corpus/10176/21939/1
34,2,1,14,constrain,/kənˈstreɪn/,stop；control,v. 束缚，限制,https://www.guixue.com/apps/word/corpus/10176/21939/1
35,2,1,15,deficiency,/dɪˈfɪʃ(ə)nsi/,shortage；defect；weakness,n. 缺陷，缺点,https://www.guixue.com/apps/word/corpus/10176/21939/1
36,2,1,16,supplement,/ˈsʌplɪmənt/,provision,v.补充,https://www.guixue.com/apps/word/corpus/10176/21939/1
37,2,1,17,distinguish,/dɪˈstɪŋɡwɪʃ/,separate；differentiate,v.区别，辨别,https://www.guixue.com/apps/word/corpus/10176/21939/1
38,2,1,18,analyze,/ˈænəlaɪz/,examine；diagnose,v.分析，解释,https://www.guixue.com/apps/word/corpus/10176/21939/1
39,2,1,19,emphasize,/ˈemfəsaɪz/,focus on；stress,v.强调，着重,https://www.guixue.com/apps/word/corpus/10176/21939/1
40,2,1,20,enormous,/ɪˈnɔːməs/,massive；large,adj.庞大的，巨大的,https://www.guixue.com/apps/word/corpus/10176/21939/1
