id	word	action	setJson	addFormsJson	addMeaningsJson	addQuizSensesJson	reason	evidence	expectedMeaningHash	expectedExampleHash
word_a3a4c8d5a70c	suitable	repair	{"example":"This job is suitable.","exampleCn":"这份工作适合你。"}				space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	494bbc89eb46f39eec50f8e41e6e7584fe190fd248d0c3eef5c4060dc464d56d	d6c59851beea76210285e46d5fa6b077edb2ecaaab410f0537615303ee0990f2
word_ee696da34197	intend	repair	{"example":"I intend to apply for the job.","exampleCn":"我打算申请这份工作。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	0b2a1e7efb4efda54eb666e5d8412e63776e88fcff8690f329030bb3eedf64bc	19422407bd3b8694c1881a170eb3431f5b5366996ce6a8456f3b3c5ef26bca68
word_1eedd7809799	find	repair	{"example":"I need to find.","exampleCn":"我需要找份工作。"}				space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	1569b5f7b7ae8efcc13150fd3c35831badbf6d5b037791babc876bc259121ae1	c874d11e0cd0922f4ddf806c403c623ddcc65d28867992e72759c8a345ec179a
word_70f7f080c3d5	opinion	repair	{"example":"In my opinion, education is.","exampleCn":"在我看来，教育是关键。"}				space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	4b14395d9ca8c72add9e4a31b6d975f1e25bfc78bcfe0af104854f7f9b13bd72	3b14aeccffd194d0f25f7cbba8aae46a7504baacee751a05872ff137ebd08f73
word_9b7a699135f1	psychological	repair	{"example":"The accident had a psychological impact.","exampleCn":"那次事故对他产生了心理影响。"}				space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	ab097e3dc32749b2b886dcac33f5e66571e5f8cc4c5d1a7c78f5e38c8ee8684e	f407a86c33774d89bb87e2075d48589010e1c597c1858d034f7065ca74b8de69
word_0c16baf0eded	japanese	repair	{"example":"She is learning Japanese for the job.","exampleCn":"她为了工作在学习日语。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	e6d6eb8c298b13d9b0206a747ec7da4a20d2357362cbfbf8755b9a88e2843234	022f6ec12376afcdf6f52336572734bafee04d622b9e55b98e83e95a6dedad09
word_c9f9e86d9398	recover	repair	{"example":"She is recovering from the flu.","exampleCn":"她正在从流感中恢复。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	30a40bccac6e772b5dcab3feb6998fc71f6f65da24ce3e789ca7e586f32bc8ad	45b2ecdfadd1fdb9e8226d295daedd4213e5987fb9e7669fa037c39827ed6fda
word_afa04fa71fc4	parliament	repair	{"example":"The parliament passed a new law.","exampleCn":"议会通过了一项新法律。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	c49e72deb7672c6018539bc074260d5f0c9f50ae4631b36398138b4b5fa29405	6be49a3e81d8787484edf0b60570a844c0cbdfa079bab11b51a78b7b9d64f135
word_2b0eded425ff	lose	repair	{"example":"I don't want to lose.","exampleCn":"我不想失去工作。"}				space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	f268868a4c1ed97af00bc85e3e78d927f2f802d70114271ba427c6bffe836381	253d15bc26bdb35f991aed62e635753fa1be2e7b3e15fcefe8b3cd4763a8dafa
word_248b535efa3e	german	repair	{"example":"She is learning German for the job.","exampleCn":"她为了工作正在学德语。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	e3f5f42f8148ad5ea0ee1e12ad877f30dfa89bf0d6f40c3b5fb3db7f2b819dbf	a6507c0bf241963a2a0e19143ef7fbc115aad9ba4cbe0e93604425ce81520577
word_30dda5937628	maternity	repair	{"exampleCn":"员工手册说明了产假政策。"}				generic_example_cn	现有中文例句、本地词条字段及人工语义复核	70c7d6b8599c85884f6480234308257057e6a50d82653d30e2e9df063541b8e5	c081275f084ce6e9007f7e2459d7d55d77d5cf1103af66d5b9535c050e1ba123
word_77bd22316378	villa	repair	{"example":"They rented a villa by the sea.","exampleCn":"他们在海边租了一栋别墅。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	0e919bfb41b6a9d660620034a3d4ad9610b5b76725f5cf9636ab9dfd3088af3b	7d9b63e7858d3e087b9451226c414fec5b5c3731ee9393011f2937095829731c
word_e7ee86196210	scar	repair	{"example":"The accident left a scar on the leg.","exampleCn":"事故在他腿上留下了伤疤。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	959cf76b8a693e610cda8ffc44c5a8b73d3d0b22edcc0e8fc028fb9651088ec7	aec05686cb25ff3991610d6e3c65cf54b6184547b784a214622546fb85ce5a0f
word_aac474b6b560	wound	repair	{"example":"He has a deep wound on the leg.","exampleCn":"他腿上有一个很深的伤口。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	ef29e4673089583935838a6f60d7dad56321f8cca02bafbea2c00eb955533dd4	d3d9019eb85f81514cda60bbf7c95acab541bc3fa727d3305bb62e873e6526e9
word_63cb1205e171	box	repair	{"example":"He put the gift in a small box.","exampleCn":"他把礼物放进一个小盒子里。"}				manual-priority-review	现有中文例句、本地词条字段及人工语义复核	d46f61318084222005009dc000269231d63d91ac3669692ca301cf9d2806cdaf	c00d08fdced2fedd337e721d7f36c7b91453bf68443d58a7441bcd940ebacc61
word_20c4b2d5df80	occasionally	repair	{"example":"I occasionally go to the gym.","exampleCn":"我偶尔去健身房。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	f510949c4f2bfed4865fd8f37d39e96da9a608401ff8aa467a42f7e591d1017b	a111c396132a8c294b183d4c1ba28e43a016801b8ae29d1594050b0a8df882e8
word_eb799ac33250	enemy	repair	{"example":"They faced many enemies during.","exampleCn":"他们在战争中面对许多敌人。"}				space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	bb9d1f2e8e8c2fdd07c148b4a786c3ac9c3b2145521c2d6efdee7c36c2f6f2eb	adc11a3d0535e51eb9056dd9529e71e174030cce90fdc676bd34bb100f74d2dd
word_9d3f8cd703ce	warmth	repair	{"example":"I felt the warmth of the sun.","exampleCn":"我感受到了太阳的温暖。"}				unfinished_example,space_before_punctuation	现有中文例句、本地词条字段及人工语义复核	65b03e7477f3016192e46408fc880a52aff0da6acaae0297a51c6a5e39565657	b1e332f6a86e65aecaa82c189440a7fc92e70619f192995c1b6d5ebfbb6f9668
