word	meaning	definition	example	exampleCn	gtPlanStage	phraseStudyMode	difficulty	category	acceptedAnswers	topics	spellingPriority
academic calendar	教学日历；校历	the official schedule of terms, holidays and important dates in an educational institution	The academic calendar lists the start and end of each term.	校历列出了每个学期的开始和结束日期。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["academic calendar"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
community service	社区服务；公益服务	unpaid work carried out for the benefit of the community	Students may take part in community service projects.	学生可以参加社区服务项目。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["community service"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
credit card	信用卡	a card used to buy goods or services on credit	Customers who paid by credit card may make a claim.	使用信用卡付款的顾客可以提出索赔。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["credit card"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
dress code	着装规定	rules about what people should wear in a particular place	Employees must follow the company's dress code.	员工必须遵守公司的着装规定。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["dress code"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
immune system	免疫系统	the body's system for defending itself against disease	The parasite can avoid the animal's immune system.	这种寄生虫能够躲避动物的免疫系统。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["immune system"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
impact assessment	影响评估	a formal study of the likely effects of a proposed action or project	An impact assessment should be completed before construction begins.	施工开始前应完成影响评估。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["impact assessment"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
power cut	停电；断电	a period when the electricity supply stops	The building was closed during the power cut.	停电期间，这栋建筑关闭了。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["power cut"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
response rate	回复率；响应率	the proportion of people who respond to a survey or request	The online survey achieved a high response rate.	这项在线调查取得了较高的回复率。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["response rate"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
website content	网站内容	the text, images and other material published on a website	The organisation regularly updates its website content.	该机构定期更新网站内容。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["website content"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空"]	False
antenatal clinic	产前诊所；孕期保健诊所	a clinic that provides care during pregnancy	She attended the antenatal clinic for a routine check.	她前往产前诊所接受常规检查。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["antenatal clinic"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空","拼写重点"]	True
confidential helpline	保密求助热线	a telephone service that provides private advice or support	The notice gives the number of a confidential helpline.	通知上提供了保密求助热线的电话号码。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["confidential helpline"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空","拼写重点"]	True
cutting chart	裁剪图；裁剪表	a diagram or table showing how material should be cut	Use the cutting chart before cutting the fabric.	裁剪布料前请查看裁剪图。	3	fill-answer	中级核心	IELTS G类 · 阅读填空答案	["cutting chart"]	["G类完整学习计划","G类完整学习计划·阶段3","真题答案表达","阅读填空","拼写重点"]	True
family-friendly	适合家庭的；适合有孩子家庭的	suitable for families, especially those with children	The hotel offers family-friendly rooms and activities.	这家酒店提供适合家庭的客房和活动。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["family-friendly","family friendly"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
self-directed	自主进行的；自我指导的	controlled or organised by the person doing it	The course includes self-directed study.	这门课程包括自主学习。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["self-directed","self directed"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
computer-aided	计算机辅助的	done with the help of a computer	The design was produced using computer-aided methods.	这项设计采用计算机辅助方法完成。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["computer-aided","computer aided"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
one-on-one	一对一的	involving two people dealing directly with each other	Trainees receive one-on-one support from a tutor.	学员会获得导师的一对一支持。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["one-on-one","one on one"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
water-resistant	防水的；耐水的	able to resist water but not necessarily completely waterproof	The case is water-resistant but should not be submerged.	这个保护壳耐水，但不应浸入水中。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["water-resistant","water resistant"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
world-class	世界一流的	among the best in the world	The city has a world-class public transport system.	这座城市拥有世界一流的公共交通系统。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["world-class","world class"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
would-be	想要成为……的；未来可能成为……的	hoping or trying to become a particular type of person	The course is designed for would-be managers.	这门课程面向有志成为管理者的人。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["would-be","would be"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
small-scale	小规模的	limited in size or extent	The project supports small-scale farmers.	该项目支持小规模农户。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["small-scale","small scale"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
day-to-day	日常的；每天的	relating to ordinary daily activities	The guide explains the day-to-day duties of the role.	该指南说明了这一岗位的日常职责。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["day-to-day","day to day"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
self-sufficient	自给自足的；无需外界帮助的	able to provide what is needed without outside help	Many residents remain largely self-sufficient.	许多居民在很大程度上仍然自给自足。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["self-sufficient","self sufficient"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
purpose-built	专门建造的；专门设计的	designed and built for a particular use	The centre has a purpose-built training room.	该中心设有专门建造的培训室。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["purpose-built","purpose built"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
well-defined	明确界定的；定义清晰的	clearly described or limited	The project has a well-defined objective.	该项目有一个明确界定的目标。	3	compound-recognition	中级核心	IELTS G类 · 阅读表达	["well-defined","well defined"]	["G类完整学习计划","G类完整学习计划·阶段3","阅读复合表达"]	False
manta ray	蝠鲼	a very large flat sea fish with wing-like fins	The divers saw a manta ray near the reef.	潜水员在珊瑚礁附近看到一条蝠鲼。	4	reference	低频认识即可	IELTS G类 · 真题专业参考	["manta ray"]	["G类完整学习计划","G类完整学习计划·阶段4","真题专业词","海洋"]	False
spindle cell	梭形细胞	a cell that is long and narrow with tapered ends	The sample contained spindle cells.	样本中含有梭形细胞。	4	reference	低频认识即可	IELTS G类 · 真题专业参考	["spindle cell"]	["G类完整学习计划","G类完整学习计划·阶段4","真题专业词","生物"]	False
