word	set	addSenses	addCollocations	addPhraseCollocations	addTopics	addIeltsUse	replaceSenses	auditNote
advert	"{""pos"":""noun"",""meaning"":""广告；广告宣传"",""definition"":""advertisement; a public notice promoting a product, service or job"",""example"":""I saw an advert for a job in the newspaper."",""exampleCn"":""我在报纸上看到一则招聘广告。"",""meaningDetailZh"":""“advert”是英式英语中“advertisement”的常见非正式缩写，表示广告或广告宣传。"",""meaningDetailedZh"":""广告；广告宣传"",""entryStatus"":""editorially-reviewed-gt-20260714""}"	"[{""gloss"":""广告；广告宣传"",""posFamily"":""noun"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]}]"						修复与例句矛盾的错误释义“一些；服务”。
advertizing	"{""pos"":""noun/verb"",""meaning"":""广告宣传；做广告（advertising 的少见拼写）"",""definition"":""a less common spelling of advertising; the activity of promoting products or services"",""example"":""The company is advertising its new product on social media."",""exampleCn"":""该公司正在社交媒体上为其新产品做广告。"",""difficulty"":""低频认识即可"",""category"":""IELTS G类 · 拼写变体参考"",""studyMode"":""reference"",""gtPlanStage"":4,""entryStatus"":""reference-spelling-variant-20260714""}"	"[{""gloss"":""广告宣传；做广告"",""posFamily"":""noun/verb"",""label"":""拼写变体"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]}]"			"[""G类完整学习计划"",""G类完整学习计划·阶段4"",""拼写变体""]"			保留稳定ID，不作为推荐拼写。
bite	"{""pos"":""verb/noun"",""meaning"":""咬；咬伤；一口；（寒冷）刺痛"",""definition"":""to cut or press with the teeth; a wound or mouthful; to cause a sharp painful feeling"",""example"":""The severe cold seemed to bite through several layers of clothing."",""exampleCn"":""严寒仿佛能穿透好几层衣服，让人感到刺痛。"",""meaningDetailZh"":""除“咬；一口”外，阅读中还可表示寒冷、风等带来的刺痛感。"",""meaningDetailedZh"":""咬；咬伤；一口；（寒冷）刺痛"",""entryStatus"":""editorially-reviewed-gt-20260714""}"	"[{""gloss"":""咬；咬伤"",""posFamily"":""verb"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]},{""gloss"":""一口；咬伤"",""posFamily"":""noun"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]},{""gloss"":""（寒冷、风等）刺痛；穿透"",""posFamily"":""verb"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"						修复残缺例句并补真题语境义。
pad	"{""pos"":""noun/verb"",""meaning"":""垫；衬垫；便笺本；填充；加衬垫"",""definition"":""a soft protective piece; a block of paper; to fill or protect with soft material"",""example"":""The case has a soft pad to protect the equipment."",""exampleCn"":""这个箱子带有柔软衬垫，用来保护设备。"",""meaningDetailZh"":""阅读中优先掌握“垫、衬垫、填充物”和“便笺本”；“轻轻走动”属于低频动词义。"",""meaningDetailedZh"":""垫；衬垫；便笺本；填充；加衬垫"",""entryStatus"":""editorially-reviewed-gt-20260714""}"	"[{""gloss"":""垫；衬垫；填充物"",""posFamily"":""noun"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]},{""gloss"":""便笺本；写字板"",""posFamily"":""noun"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]},{""gloss"":""填充；加衬垫"",""posFamily"":""verb"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]}]"						删除不适合作为主释义的“步行”，修复残缺例句。
bark	"{""pos"":""noun/verb"",""meaning"":""树皮；吠叫"",""definition"":""the protective outer covering of a tree; to make the sharp sound of a dog"",""example"":""The bark often splits where branches fork from the trunk."",""exampleCn"":""树皮常在树枝从树干分叉的地方裂开。"",""meaningDetailZh"":""G类阅读中“bark”常作名词表示树皮；作动词表示狗吠叫。"",""meaningDetailedZh"":""树皮；吠叫"",""entryStatus"":""editorially-reviewed-gt-20260714""}"	"[{""gloss"":""树皮"",""posFamily"":""noun"",""label"":""真题高频义"",""confidence"":""high"",""evidence"":[""cambridge-gt-kauri-gum""]},{""gloss"":""吠叫"",""posFamily"":""verb"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]}]"	"[{""phrase"":""tree bark"",""chinese"":""树皮""}]"					补贝壳杉原文中的名词义。
concession	"{""pos"":""noun"",""meaning"":""优惠；减价票；让步；特许权"",""definition"":""a reduced price for an eligible person; something granted; an act of giving way"",""example"":""Students can buy tickets at a concession rate."",""exampleCn"":""学生可以按优惠价购买门票。"",""meaningDetailZh"":""G类旅游、票务和公共服务材料中常表示优惠、优惠票或优惠资格；也可表示让步、特许权。"",""meaningDetailedZh"":""优惠；减价票；让步；特许权"",""entryStatus"":""editorially-reviewed-gt-20260714""}"	"[{""gloss"":""优惠；优惠资格；减价票"",""posFamily"":""noun"",""label"":""G类高频义"",""confidence"":""high"",""evidence"":[""manual-editorial-review""]},{""gloss"":""让步"",""posFamily"":""noun"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""existing-entry""]},{""gloss"":""特许权"",""posFamily"":""noun"",""label"":""核心义"",""confidence"":""high"",""evidence"":[""existing-entry""]}]"	"[{""phrase"":""concession ticket"",""chinese"":""优惠票""},{""phrase"":""concession rate"",""chinese"":""优惠价""},{""phrase"":""student concession"",""chinese"":""学生优惠""}]"					补G类票务和公共服务高频义。
stock	"{""meaning"":""股票；库存；储备；（鱼类等的）种群"",""meaningDetailedZh"":""股票；库存；储备；（鱼类等的）种群或资源量""}"	"[{""gloss"":""（鱼类等的）种群；资源量"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-marine-ecosystems""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
range	"{""meaning"":""范围；山脉；覆盖范围"",""meaningDetailedZh"":""范围；山脉；服务或设备的覆盖范围""}"	"[{""gloss"":""服务覆盖范围；设备作用范围"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-oymyakon""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
current	"{""pos"":""adjective/noun"",""meaning"":""当前的；通行的；水流；洋流；电流"",""meaningDetailedZh"":""当前的；通行的；水流；洋流；电流""}"	"[{""gloss"":""水流；洋流；电流"",""posFamily"":""noun"",""label"":""真题语境义"",""confidence"":""high"",""evidence"":[""cambridge-gt-corpus""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
claim	"{""meaning"":""声称；要求；索赔；申领"",""meaningDetailedZh"":""声称；要求；索赔；正式申领福利、退款或款项""}"	"[{""gloss"":""正式申请领取；申领（福利、退款或款项）"",""posFamily"":""verb/noun"",""label"":""G类高频义"",""confidence"":""high"",""evidence"":[""cambridge-gt-consumer-benefits""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
scheme	"{""meaning"":""计划；方案；制度；机制；阴谋"",""meaningDetailedZh"":""计划；方案；制度；机制；阴谋""}"	"[{""gloss"":""制度；机制；官方计划"",""posFamily"":""noun"",""label"":""G类高频义"",""confidence"":""high"",""evidence"":[""cambridge-gt-chargeback""]}]"			"[""G类完整学习计划"",""熟词生义"",""剑雅G类真题补义""]"	"[""Reading""]"		补充题库原文中出现的稳定语境义。
