id	word	action	setJson	addFormsJson	addMeaningsJson	addQuizSensesJson	reason	evidence	expectedMeaningHash	expectedExampleHash
word_70f7f080c3d5	opinion	repair	{"example":"In my opinion, education is essential.","exampleCn":"在我看来，教育是关键。"}				human-semantic-followup	现有完整中文例句与人工语义复核	4b14395d9ca8c72add9e4a31b6d975f1e25bfc78bcfe0af104854f7f9b13bd72	6f6ab33f819e5b91576fd47dc46da4f9ecb804bd2f7db1c967eec998684e458d
word_05b120a1b4dd	diagnosis	repair	{"example":"The doctor's diagnosis was flu.","exampleCn":"医生诊断为流感。"}				human-semantic-followup	现有完整中文例句与人工语义复核	4fdbedd6b17c2b16d0c8206cd299e87d67a9643f966974c4b8c0ce5083103fc0	39e32236838492771fe1d755ef3c648514cbe6e604c0e727e8af764fe3941604
word_f0d93c8279b2	sick	repair	{"example":"I feel sick; I need a day off.","exampleCn":"我感觉不舒服，需要请一天假。"}				human-semantic-followup	现有完整中文例句与人工语义复核	9fa5844d067cf6fb33d6b65668a392c1aca78e0cf4c2bd231b6d958c2edb9bcc	3af97fa72826519bf496f1d7358a02988c18f006e8d33a424bce0453362e16b2
word_145be25d4c0c	entirely	repair	{"example":"I entirely agree with you.","exampleCn":"我完全同意你。"}				human-semantic-followup	现有完整中文例句与人工语义复核	d8a7d50fc03879178c59912600f5304fa33ed32400e26c0e4bb830a80b63bf56	074a9444627744be52846ad6c250469d6760aba86f86195fa7c3767ece850831
word_7057b8f6ef7f	hat	repair	{"example":"Wear a hat to protect yourself from the sun.","exampleCn":"戴上帽子防晒。"}				human-semantic-followup	现有完整中文例句与人工语义复核	3a7e94479a4ae60e9657195278bbc539565c72bc8af129a32534f6343e736067	a55ea20c92376d9798da7668d40f41112b2406624ffba6f742dd2d3a43bf64dd
word_5a7853bd5e37	redundant	repair	{"example":"He was made redundant from his job.","exampleCn":"他被解雇了。"}				human-semantic-followup	现有完整中文例句与人工语义复核	cee5bab3d8e143459a8d45cc067dcdef3dbef16300102b25ab443b81729d33ce	1fa54785a13b0299bc55c5e165a91c9b206bae4c43487f6c8cc72567141c3eb2
word_b24b306ed435	various	repair	{"example":"There are various options to choose from.","exampleCn":"有多种选择。"}				human-semantic-followup	现有完整中文例句与人工语义复核	3c3aebd1415877d56dc395775665aa38aa443f5280b55d0e2a29393e92d41156	451e320c2d6ebf1064f32e3ba591e03064fd9f51752e8ca6385ec8ecf98bf2f6
word_c11012dcd962	fracture	repair	{"example":"He suffered a fracture in his arm.","exampleCn":"他的手臂骨折了。"}				human-semantic-followup	现有完整中文例句与人工语义复核	37908792702f2318bd9bf9910cd599a8aa0106231f21dc1adca204b3310976bf	9a7f670c90ce1c3cbd8f6c35f10293373a76dfafd513c2c98805a67a726dacb8
word_59891f491673	whole	repair	{"example":"I read the whole book in one day.","exampleCn":"我一天读完了整本书。"}				human-semantic-followup	现有完整中文例句与人工语义复核	8339d3b00350b361fbe3f1d76a3c57d1613a7b5c003a91896f8f41047f86babe	b87fc0d5ac4f2ad40817870be5817477f86d42192380c626a1a2924c8ad4182b
word_21a87d71c09b	irish	repair	{"example":"I met an Irish friend at the pub.","exampleCn":"我在酒吧遇到一位爱尔兰朋友。"}				human-semantic-followup	现有完整中文例句与人工语义复核	1579624c2d613fddc499bc00cab5a2a9f5d738c83848209d201881216de4ce52	ee6e0d6b9a5a48b8c61befca42e432fe826e1292d81165f37b21ca588b54b6b6
word_25ebb7a4846b	password	repair	{"example":"Enter your password to log in.","exampleCn":"输入密码登录。"}				human-semantic-followup	现有完整中文例句与人工语义复核	8212f7315b776778f26cc7a7769ee13f4f2aa924c4cc72efebe2de642f7ed8cc	2cdb24689108bbc6c8c0934af49dfb92da8ad5e9d2a155ddf69b5e6e30e1fdcb
word_2c98bbff8842	rubdown	repair	{"example":"After the long run, she treated herself to a relaxing rubdown at the spa.","exampleCn":"长跑后，她去水疗中心享受了一次放松按摩。"}				human-semantic-followup	现有完整中文例句与人工语义复核	76947933ff1160bc91467fdf61ab8840047b9a730c6407708e14555ab347bd69	1669d03d69940fce95a0f014406d9dd530ab1e8b547e779de064ead845561452
word_49b5e153d186	correspondence	repair	{"example":"I have a long correspondence with my penfriend.","exampleCn":"我和笔友有长期的通信。"}				human-semantic-followup	现有完整中文例句与人工语义复核	54eab5524e50e2c199d30f4d92713d1fdb9b91be057edf78a9211a00fbaa3f79	3e63ddd08a1f9ee3e601709add8b230b992f4e65a4b921b0b905b9a2e22614e2
word_adca1042e456	subsidize	repair	{"example":"The government subsidizes public transport to encourage people to use it.","exampleCn":"政府补贴公共交通，以鼓励人们使用。"}				human-semantic-followup	现有完整中文例句与人工语义复核	0b751c0fe92bea94a4165f55385f154c407c6e3aee47e75583fd8070724b2a33	ea014f262c3a4dd13d223b3612708384f4ad3ad6836e4e89f0740e98bbb6a297
word_104db0d3d57a	teller	repair	{"example":"The teller asked for my identification.","exampleCn":"出纳员要求看我的身份证。"}				human-semantic-followup	现有完整中文例句与人工语义复核	654072be4abfbf43a771d6532c38beb2d0e0f4a2b2c2e700131b85826af4747d	3f12b1ee477741246c302a918ddd11f8d6a9d62917a1aa154542bf54da65cb59
word_2930d7e4b3de	wagon	repair	{"example":"They loaded the wagon with hay.","exampleCn":"他们把干草装上马车。"}				human-semantic-followup	现有完整中文例句与人工语义复核	46cda0e789dd97a69a8c4a19f2f056f444174c6c3bcbc864dc85a8a4ff2e4394	277fd077b56cd37291f5123d934302c45d11c15c338e1bb24ecdcddef68c3ecf
